TractFIPS,no-obesity,sleep >7,no-asthma,no-mental-health-prob,commute,pollution,density,safety,lat,long
12099006202,77.6,64.9,92.8,89.2,25.238981390793338,47.0,52.22012806998798,51.861325178400975,26.520806099999998,-80.05794920000002
4013116729,77.1,68.0,91.3,91.2,28.562438057482662,44.0,45.533058488860796,54.48441319941053,33.3149004,-112.0267104
46099000407,64.2,70.3,91.4,87.7,23.39808558558559,62.0,44.55302387980753,57.57557290132996,43.5371365,-96.6638811
6067009609,72.7,59.0,90.2,87.0,34.513874066168626,28.0,54.817823990923884,49.21568696606216,38.445981599999996,-121.4333155
36005033000,70.4,61.1,89.0,85.8,56.56947697111632,1.0,71.3165454943282,45.98322150893629,40.8616561,-73.8660255
47065010432,74.2,67.2,91.4,89.6,24.998636208660074,43.0,35.468466416472545,44.96944530349125,35.1259641,-85.2109691
8041006302,72.3,64.9,89.0,84.2,26.754607508532423,48.0,53.271221052605924,55.678207063064654,38.819171399999995,-104.75016049999999
4013813600,77.5,66.5,91.4,91.0,33.78618857901727,38.0,40.466333818948115,54.48441319941053,33.2264862,-111.77235970000001
9001210600,73.4,62.6,90.2,86.4,26.049578742709013,21.0,51.12151726027422,59.02070086790976,41.383026,-73.46043890000001
4013523104,71.4,62.8,89.9,86.4,27.483717774762546,24.0,51.19701153828618,54.48441319941053,33.2993238,-111.84774979999999
36005022101,64.2,57.6,88.0,82.3,48.489423778264026,7.0,77.1138058195726,45.98322150893629,40.8382778,-73.91812320000003
25025050200,73.1,62.5,88.7,83.6,41.41324465008675,16.0,69.28359590199656,38.34971067562574,42.3775778,-71.0357577
47065001100,59.9,55.9,88.8,83.8,19.258215962441312,10.0,44.77414990983705,44.96944530349125,35.0396542,-85.2805689
36067006101,57.8,58.2,85.9,83.9,23.13333333333333,55.0,53.32620649551674,55.83743110585562,43.0071933,-76.14146690000003
41051009903,79.2,70.1,90.9,89.3,31.367991483321504,1.0,43.11058984289615,51.907158838676594,45.47394,-122.4712764
40109108318,74.0,69.5,91.4,90.0,24.11852433281005,59.0,37.891358504943724,43.57538064344085,35.6148064,-97.5174667
1089003100,64.1,60.2,90.0,84.4,17.65197568389058,12.0,41.479072613196536,47.082501715161584,34.7293592,-86.5867817
31109000201,72.0,73.0,92.1,90.3,21.35924084952553,21.0,49.277126908537475,56.23220582873996,40.8440359,-96.635512
40143007609,67.2,64.1,89.1,84.5,23.198412698412696,50.0,49.55478107564351,42.64539286025014,36.0695192,-95.9688233
40109106912,64.4,62.7,89.0,82.9,24.56591928251121,73.0,40.88888397432061,43.57538064344085,35.4725181,-97.6627728
48085031719,74.2,68.0,92.3,90.7,27.147270854788875,37.0,49.5274302641024,64.5467117575587,32.9942717,-96.77360329999999
17089851102,64.7,65.6,90.6,87.3,31.152133580705005,50.0,51.71067211565777,63.96204230586189,42.0423425,-88.3023351
6013332000,73.6,67.8,91.4,88.8,38.158618829241966,49.0,51.54376859957339,54.85053052296628,37.98184129999999,-121.9976902
6059088402,74.4,64.0,90.9,85.0,32.04424778761062,5.0,55.04622150152779,61.85075116547339,33.788853499999995,-117.9193342
47157007822,51.6,55.3,87.3,82.4,23.19031719532555,13.0,41.74773587926005,19.810466292162378,35.0793459,-90.0273368
40027200900,71.0,67.9,90.7,87.4,25.845958312150483,70.0,44.483437179790826,57.256923825849825,35.2256924,-97.47438829999999
6059021921,81.0,69.6,92.3,91.1,34.724137931034484,7.0,45.28370842711061,61.85075116547339,33.8549585,-117.7543976
19013001100,65.6,69.6,90.9,86.9,15.358989424206815,5.0,50.76111396885718,53.72449355901431,42.4802947,-92.3473302
37081015401,65.1,63.5,91.2,87.3,28.881924198250733,55.0,29.853960893146102,53.27533300144538,36.1681144,-79.6554479
53033009000,76.1,67.8,91.1,89.5,31.570118662351675,7.0,54.71676895782094,57.28210758766223,47.5982642,-122.3090976
47157000200,48.7,51.3,85.2,78.3,26.835766423357658,23.0,44.23404844208429,19.810466292162378,35.1681487,-90.0424321
17031271800,48.2,51.9,85.9,80.6,41.6,14.0,56.97502268064571,47.33929612733445,41.8714964,-87.6984897
12095015402,80.6,76.1,92.8,93.0,29.489067894131182,21.0,44.475595712515236,44.811003292172174,28.5954859,-81.37925890000002
12057007102,77.1,66.4,92.5,87.6,25.144076840981857,38.0,47.367917926464116,56.644997546414835,27.8883608,-82.53075849999998
9009142604,68.9,61.2,89.6,87.4,25.102103960396036,30.0,49.65210445054883,55.14743616425231,41.3015127,-72.8836465
6059075701,75.9,67.0,91.6,88.1,28.502945902517403,4.0,53.98847290023864,61.85075116547339,33.766702,-117.82785439999999
2020002711,74.0,70.6,91.4,90.4,21.011376896149358,57.0,43.45824404623814,38.5992887123296,61.122781,-149.9633763
6065041202,66.0,59.0,90.6,84.0,36.56942675159236,14.0,54.75649784091602,58.521572068610865,33.9344497,-117.4707309
6037920016,78.4,66.2,91.8,89.2,37.50000000000001,58.0,51.21944627759632,53.158798934114984,34.4638784,-118.5208803
