Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
6.4,8.2,11.6,6.6,19.5,40.6,15003000600
5.1,9.0,7.9,7.3,23.2,39.5,15003001700
5.7,8.5,10.4,7.0,19.8,41.9,15003000500
5.5,8.7,9.0,6.5,21.3,38.8,15003000114
5.9,7.9,12.0,7.0,17.1,44.8,15003000700
5.4,8.8,11.2,8.4,20.5,46.2,15003001600
5.3,8.7,9.0,8.0,22.8,42.6,15003001804
5.5,9.6,9.7,10.0,26.7,45.6,15003001801
5.6,8.3,11.4,7.5,18.3,44.6,15003000800
5.3,9.7,9.5,9.8,25.3,45.0,15003001803
5.3,8.4,11.0,7.7,18.2,45.1,15003001400
5.4,8.8,11.0,8.2,19.1,45.9,15003001500
5.5,10.2,10.4,11.0,26.3,47.1,15003002004
3.9,9.3,7.3,9.2,21.0,44.4,15003002003
8.4,9.8,11.8,9.4,27.5,42.7,15003001901
4.3,9.7,9.6,9.9,21.6,47.6,15003002100
5.6,8.6,11.1,7.3,19.8,43.3,15003000112
4.7,8.4,9.9,7.4,18.4,44.3,15003000903
5.4,9.3,9.9,9.5,23.8,45.4,15003002006
5.2,9.0,11.0,8.8,19.8,46.7,15003001300
5.0,7.6,10.2,5.8,17.1,41.4,15003000402
5.1,9.6,11.0,10.4,23.9,48.4,15003002201
5.8,8.4,10.8,7.1,18.9,43.3,15003000302
5.6,9.5,9.5,8.8,24.0,43.2,15003001904
4.4,8.7,8.9,7.9,19.0,44.5,15003002202
4.4,9.2,8.3,9.1,23.5,45.1,15003002005
5.2,9.0,9.3,7.4,21.3,41.9,15003000108
5.8,8.9,9.9,8.1,21.7,43.0,15003001903
6.9,8.1,12.1,6.9,18.0,42.7,15003000901
5.2,8.6,10.8,8.0,18.3,45.9,15003001201
4.9,9.6,10.6,10.3,22.3,48.8,15003002300
4.8,9.3,10.9,10.1,22.4,49.2,15003002401
5.4,8.7,10.2,7.4,19.8,42.6,15003000902
5.8,9.6,12.6,10.3,22.4,49.0,15003002402
4.5,7.9,9.3,6.6,18.9,42.8,15003003700
4.8,7.8,10.8,7.4,17.5,46.2,15003003604
6.0,9.2,13.1,10.1,22.4,48.9,15003002500
5.4,8.4,11.2,7.9,18.5,46.2,15003001202
5.8,9.3,12.0,9.7,22.1,47.6,15003002600
8.2,9.2,16.8,9.9,21.5,48.4,15003003603
5.1,9.0,11.3,9.4,21.8,47.9,15003003601
5.6,8.6,11.4,8.0,20.7,45.4,15003003800
2.0,10.9,4.3,12.1,18.2,45.7,15003002701
4.9,8.4,9.5,6.9,17.6,42.1,15003002800
6.6,8.6,13.4,8.3,19.4,46.5,15003003502
4.6,9.3,9.8,9.2,21.6,46.2,15003002702
5.2,8.7,10.2,7.3,19.5,43.4,15003000200
5.8,7.9,10.6,6.3,17.6,41.0,15003000401
6.7,10.4,13.8,11.8,26.4,49.9,15003001100
4.6,9.0,9.5,7.7,21.1,43.9,15003000110
4.8,8.6,10.2,7.4,19.6,44.5,15003000111
9.8,9.6,18.0,9.9,26.9,46.3,15003003900
5.1,8.3,10.6,7.6,20.2,45.0,15003003501
7.8,7.3,11.9,5.5,15.6,38.6,15003003407
4.5,9.3,10.5,9.8,22.3,48.6,15003003406
5.3,8.3,10.6,7.0,18.3,43.4,15003000301
5.3,8.6,9.7,7.1,19.8,42.3,15003000106
4.2,9.2,8.9,8.8,21.7,45.7,15003003405
3.8,7.6,8.2,6.3,17.2,42.5,15003002900
4.6,8.7,9.7,7.2,19.6,43.1,15003000107
5.4,9.1,10.9,9.0,22.7,46.4,15003003403
5.6,8.5,11.2,8.1,20.4,45.2,15003003404
5.6,9.9,11.5,10.3,24.1,48.1,15003004100
4.5,8.6,8.3,7.3,22.1,42.4,15003004000
5.1,8.4,10.1,7.1,18.4,42.3,15003003000
5.6,9.0,11.2,7.8,21.4,44.1,15003003300
8.7,10.6,18.6,12.5,25.2,52.3,15003005200
6.8,10.7,14.3,13.3,30.6,53.0,15003005700
2.7,9.7,5.8,9.2,24.3,46.2,15003008408
4.7,8.6,9.5,7.9,20.1,44.9,15003004200
4.9,9.4,10.4,9.2,22.4,46.8,15003004300
6.1,10.3,12.4,11.0,24.5,49.5,15003008402
6.9,9.1,15.4,9.7,20.6,48.0,15003005100
4.2,12.7,8.8,16.0,34.7,52.0,15003008502
3.3,9.8,7.3,9.8,24.7,47.5,15003008407
5.6,8.8,11.1,8.4,20.3,45.3,15003001000
8.6,9.7,18.9,11.1,21.4,50.9,15003005300
3.6,10.8,7.8,13.9,32.6,54.1,15003980200
8.4,13.8,19.4,20.8,38.7,57.8,15003005400
5.3,10.0,11.8,10.6,23.4,50.1,15003008302
6.8,8.6,13.9,8.5,18.6,46.6,15003005000
6.4,9.9,15.2,12.0,22.0,52.6,15003005500
5.7,9.0,9.4,7.2,21.5,40.7,15003003200
5.3,9.6,12.0,13.3,30.9,54.3,15003005900
5.6,7.6,11.1,6.1,16.5,41.7,15003003101
0.7,10.1,1.0,11.7,19.5,41.9,15003007303
6.6,9.2,14.0,9.8,20.1,49.1,15003004900
5.6,10.0,13.1,11.0,21.6,51.1,15003005800
7.4,12.5,13.5,13.2,34.6,50.7,15003940001
3.5,9.0,8.5,8.8,21.4,48.1,15003008410
7.3,9.3,15.9,10.4,20.0,50.3,15003005600
6.0,9.4,12.3,9.2,23.1,47.5,15003004400
2.7,9.4,6.7,9.2,23.2,48.2,15003008406
3.9,10.7,8.5,11.1,27.3,49.8,15003011500
5.2,8.0,10.4,8.7,30.7,51.4,15003981400
5.5,8.9,13.3,10.0,19.0,51.3,15003006000
5.8,8.3,11.7,7.3,17.9,44.6,15003004700
3.2,9.5,7.7,9.8,23.1,49.1,15003008411
5.5,7.4,11.1,6.0,15.7,42.1,15003003102
5.2,8.5,12.2,9.0,17.5,50.2,15003006100
5.1,10.0,10.4,10.4,26.2,47.6,15003008609
2.6,10.9,5.5,11.8,28.2,47.9,15003008301
3.9,9.6,6.7,8.2,25.2,41.2,15003008610
6.1,11.8,12.1,13.1,30.7,50.8,15003011300
1.7,10.3,4.1,10.8,29.2,47.3,15003007100
8.4,14.2,18.4,22.9,47.4,58.7,15003006202
6.1,9.9,13.8,11.5,23.9,51.7,15003006201
5.7,8.8,13.0,9.6,19.2,50.4,15003006401
1.5,10.0,3.1,9.9,25.5,43.6,15003007302
1.6,10.9,3.7,12.1,30.0,48.1,15003006900
3.4,9.9,7.8,10.1,23.8,48.6,15003008412
