TractFIPS,lat,long,area
01001020100,+32.4819591,-86.4913377,9822819.0
01001020200,+32.4757580,-86.4724678,3341886.0
01001020300,+32.4740243,-86.4597033,5349273.0
01001020400,+32.4710304,-86.4448353,6382707.0
01001020500,+32.4589224,-86.4218265,11399988.0
01001020600,+32.4473511,-86.4768097,8021990.0
01001020700,+32.4303487,-86.4369714,22413466.0
01001020801,+32.4180817,-86.5271377,124278451.0
01001020802,+32.5467483,-86.5315257,190815264.0
01001020900,+32.6385222,-86.5148731,292756927.0
01001021000,+32.6061376,-86.7489849,386858318.0
01001021100,+32.4574129,-86.7290029,478167926.0
01003010100,+31.1104762,-87.7868713,971507313.0
01003010200,+30.9478929,-87.6787306,221743064.0
01003010300,+30.8244356,-87.8710563,343732215.0
01003010400,+30.7200267,-87.6245437,737211648.0
01003010500,+30.8969612,-87.7737368,17478851.0
01003010600,+30.8531544,-87.7701913,18566273.0
01003010701,+30.7174494,-87.9529225,108697957.0
01003010703,+30.6478335,-87.8437739,144260776.0
01003010704,+30.6477601,-87.8838007,8400920.0
01003010705,+30.6604947,-87.9557115,17448848.0
01003010800,+30.5939161,-87.9006394,18080838.0
01003010903,+30.6114771,-87.7725676,55584945.0
01003010904,+30.5640707,-87.5731188,276118423.0
01003010905,+30.5345606,-87.7548736,71113245.0
01003010906,+30.5641292,-87.6870074,39371387.0
01003011000,+30.4896994,-87.6767299,130443838.0
01003011101,+30.5190072,-87.8386361,33520972.0
01003011102,+30.4799296,-87.8330813,45370673.0
01003011201,+30.5408065,-87.8916180,12365598.0
01003011202,+30.5055705,-87.9100953,13596911.0
01003011300,+30.4293701,-87.8782358,65666908.0
01003011401,+30.3802759,-87.7703177,164751030.0
01003011403,+30.3194974,-87.6627032,85204100.0
01003011405,+30.3005856,-87.5417985,15491987.0
01003011406,+30.2696285,-87.6372770,34146322.0
01003011407,+30.2501898,-87.7779445,33734671.0
01003011408,+30.2375544,-87.9238804,27448642.0
01003011501,+30.4324484,-87.6790139,38601084.0
01003011502,+30.3798842,-87.6650569,51913166.0
01003011601,+30.4082096,-87.5555847,234537500.0
01003011602,+30.4111645,-87.4511185,81473914.0
01003990000,+30.3288028,-87.8829748,0.0
01005950100,+32.0353533,-85.2477678,485263805.0
01005950200,+31.9222753,-85.4498309,517006053.0
01005950300,+31.7908933,-85.5670514,352811320.0
01005950400,+31.6794432,-85.5577196,343304919.0
01005950500,+31.7634183,-85.2718649,333702731.0
01005950600,+31.8783526,-85.2729215,101697262.0
01005950700,+31.9440855,-85.2620842,127200984.0
01005950800,+31.9204100,-85.1757409,14630161.0
01005950900,+31.8559766,-85.1513159,16201445.0
01007010001,+33.0791483,-87.1730915,235649016.0
01007010002,+33.1824189,-87.0823493,180622272.0
01007010003,+32.9533249,-87.0043466,691793540.0
01007010004,+32.9480029,-87.2803484,504416731.0
01009050101,+33.8723927,-86.4590322,215168179.0
01009050102,+33.9543002,-86.4647758,184549535.0
01009050200,+33.9974352,-86.5442380,117119604.0
01009050300,+34.0765310,-86.3904992,189558866.0
01009050400,+34.1660342,-86.4971736,245440876.0
01009050500,+34.0336235,-86.6373178,248719995.0
01009050601,+33.8702666,-86.8934341,83839415.0
01009050602,+33.9036637,-86.7813122,181928636.0
01009050700,+33.8405764,-86.6350183,203716769.0
01011952100,+32.1157274,-85.5267341,428229178.0
01011952200,+32.1567000,-85.7015280,398494068.0
01011952500,+32.0821273,-85.8274935,786335890.0
01013952700,+31.8946556,-86.5914052,133820618.0
01013952800,+31.8377093,-86.6283263,3450181.0
01013952900,+31.8483356,-86.6763257,57436963.0
01013953000,+31.8617983,-86.7608112,441481307.0
01013953100,+31.7968287,-86.6541421,32192358.0
01013953200,+31.7820079,-86.5213679,478685848.0
01013953300,+31.7163243,-86.7533225,352261684.0
01013953400,+31.6017378,-86.8165798,248297929.0
01013953500,+31.5750830,-86.6086952,264349344.0
01015000200,+33.6737791,-85.8165719,6798691.0
01015000300,+33.6759496,-85.8313606,2620902.0
01015000400,+33.6821954,-85.8690969,10127791.0
